               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.021426,            0.020089,            0.020437,             0.87859,             0.78961,             0.88602,              0.7344,            0.012245,           0.0090597,           0.0088595,           0.0097927,           0.0097927,           0.0097927
                  99,            0.022482,            0.019837,               0.019,             0.82668,             0.81168,             0.88262,             0.72923,            0.012613,           0.0091083,           0.0095904,           0.0097884,           0.0097884,           0.0097884
                 100,            0.021113,             0.02004,            0.018596,             0.85319,             0.78658,             0.88338,             0.73192,            0.012621,           0.0090319,           0.0095661,           0.0097841,           0.0097841,           0.0097841
                 101,            0.021729,            0.019917,            0.019102,             0.82132,             0.81917,             0.88714,             0.73087,             0.01258,           0.0091495,           0.0091716,           0.0097798,           0.0097798,           0.0097798
                 102,            0.022091,            0.020122,            0.019236,             0.81408,             0.82829,              0.8862,             0.73607,             0.01243,            0.008888,           0.0098802,           0.0097754,           0.0097754,           0.0097754
                 103,            0.021642,            0.019804,            0.020875,             0.84878,             0.79948,             0.89137,             0.73972,            0.012672,            0.008965,            0.009712,           0.0097709,           0.0097709,           0.0097709
                 104,            0.022173,            0.019781,            0.018976,             0.87318,             0.78478,             0.88735,             0.73944,            0.012414,           0.0087752,            0.010215,           0.0097665,           0.0097665,           0.0097665
                 105,            0.021497,            0.019542,            0.017362,             0.84588,             0.80046,             0.88565,              0.7314,            0.012377,           0.0089012,            0.010308,           0.0097619,           0.0097619,           0.0097619
                 106,            0.021068,            0.019926,            0.020387,             0.82655,             0.80765,             0.88275,              0.7297,            0.012507,           0.0091063,            0.010153,           0.0097574,           0.0097574,           0.0097574
                 107,            0.021789,            0.019952,            0.020497,             0.84218,             0.81421,             0.88632,             0.73555,            0.012659,            0.009099,            0.009252,           0.0097528,           0.0097528,           0.0097528
                 108,            0.021975,            0.019914,            0.020846,             0.83746,             0.81333,             0.88968,             0.74011,            0.012415,           0.0089112,           0.0097626,           0.0097481,           0.0097481,           0.0097481
                 109,            0.022345,            0.020183,            0.021508,             0.82917,             0.80416,             0.88596,             0.73679,             0.01235,           0.0088389,            0.010613,           0.0097435,           0.0097435,           0.0097435
                 110,            0.021505,            0.019707,            0.019002,             0.85542,             0.80129,             0.88909,             0.74107,            0.012417,           0.0089283,            0.010729,           0.0097387,           0.0097387,           0.0097387
                 111,            0.021485,            0.019268,            0.019044,             0.84894,             0.80256,             0.88897,             0.73749,             0.01243,           0.0090285,            0.009809,            0.009734,            0.009734,            0.009734
                 112,            0.022296,             0.01984,            0.018079,              0.8463,             0.80819,             0.89265,              0.7421,            0.012392,           0.0089147,            0.010179,           0.0097292,           0.0097292,           0.0097292
                 113,            0.021656,            0.019546,            0.017658,             0.83883,             0.81361,             0.88425,             0.73585,            0.012414,           0.0089361,            0.011737,           0.0097243,           0.0097243,           0.0097243
                 114,            0.021079,            0.019517,            0.019017,             0.82983,             0.82942,             0.88758,             0.74156,            0.012437,            0.008888,            0.011272,           0.0097194,           0.0097194,           0.0097194
                 115,            0.021344,            0.019783,            0.019752,             0.84911,             0.79794,              0.8884,             0.73675,            0.012653,           0.0089611,            0.011339,           0.0097145,           0.0097145,           0.0097145
                 116,            0.021047,            0.019777,            0.020386,             0.87127,             0.77429,             0.88352,             0.73306,            0.012375,           0.0089016,            0.011263,           0.0097095,           0.0097095,           0.0097095
                 117,            0.021613,            0.019864,            0.018057,             0.82975,             0.81091,             0.88801,             0.73888,            0.012254,           0.0088566,            0.011016,           0.0097045,           0.0097045,           0.0097045
                 118,            0.021641,            0.019954,            0.018656,              0.8255,             0.82557,             0.89075,             0.74022,            0.012471,            0.008883,            0.010412,           0.0096994,           0.0096994,           0.0096994
